Setting,RMS Current,O2,Flow,Temperature
0.25,0.99697591254462,95.4325089240178,0.0452915384242732,25.6328403875577
0.5,1.12141291836228,95.4252605459058,0.0742017964516128,26.0659305210914
0.75,1.19799395382286,95.0379258137761,0.09420477549836,26.3084027252079
1,1.27990826027397,94.5191527143587,0.130128510273973,26.7845002536779
1.25,1.38061798710819,94.8230283114262,0.184715273078867,26.9000000000004
1.5,1.44810895841785,94.7607251521297,0.224467499467545,27.0999999999996
1.75,1.54008922117587,94.6758971748539,0.267107847493,27.0999999999996
2,1.61314841737033,94.4856212303983,0.288532356381182,27.1758504221959
2.25,1.66891824020228,94.4066498103663,0.327661190821745,27.3028318584067
2.5,1.78370791603821,94.4253142282548,0.355170153368527,27.5999999999996
2.75,1.89181395738204,94.401902587519,0.386538051217656,27.8068493150682
3,1.95109362458725,94.1554483108964,0.451181004114808,28.0511303022604
3.25,2.02416174463277,94.0247005649721,0.480692887751413,28.1332881355931
3.5,2.10284936628644,93.8351584283909,0.505213418580484,28.2852471482885
3.75,2.3770089508271,93.7501472920918,0.515809358780875,28.4335599365514
4,2.37801902456306,93.2905526688712,0.598252248771847,28.6723901747754
4.25,2.49250220178665,92.7803468208094,0.668873635444036,28.9340514976353
4.5,2.66583216806723,90.2903081232495,0.746900165070028,31.5962464985993
4.75,2.6613225501651,91.512598425197,0.744195990754381,32.7500635001264
5,2.78164343395252,92.011480908153,0.788501747239422,30.8703560371515
